CODE;OBJECT NAME ENG;OBJECT NAME ESP;OBJECT_TYPE_ENG;OBJECT_TYPE_ESP;CONSTELLATION_ENG;CONSTELLATION_ESP
NGC1;;;Dark Nebula;Nebulosa oscura;Taurus;Tauro
NGC10;;;Planetary Nebula;Nebulosa planetaria;Hydrus;Hidra Macho
NGC100;;;Galaxy Group;Grupo Galaxtico;Vela;Velas
NGC1000;;;Emission Nebula;Nebula de emisión;Scorpius;Escorpión
NGC1001;;;HII Region;Región HIII;Sculptor;Escultor
NGC1002;;;Asterism;Asterismo;Libra;Libra
NGC1003;;;Dark Nebula;Nebulosa oscura;Cetus;Ballena
NGC1004;;;Planetary Nebula;Nebulosa planetaria;Lupus;Lobo
NGC1005;;;Variable Star;Estrella variable;Lacerta;Lagarto
NGC1006;;;HII Region;Región HIII;Reticulum;Retículo
NGC1007;;;Red Giant;Gigante roja;Lyra;Lira
NGC1008;;;Red Giant;Gigante roja;Serpens;Serpiente
NGC1009;;;Quasar;Quasar;Piscis Austrinus;Pez Austral
NGC101;;;Reflection Nebula;Nebula de reflexión;Corona Borealis;Corona Boreal
NGC1010;;;Spiral Galaxy;Galaxia espiral;Carina;Quilla
NGC1011;;;Variable Star;Estrella variable;Circinus;Compás
NGC1012;;;Emission Nebula;Nebula de emisión;Canis Major;Can Mayor
NGC1013;;;Supernova Remnant;Remanente de supernova;Reticulum;Retículo
NGC1014;;;Quasar;Quasar;Crater;Copa
NGC1015;;;White Dwarf;Enana blanca;Pictor;Pintor
NGC1016;;;Galaxy Group;Grupo Galaxtico;Ara;Altar
NGC1017;;;HII Region;Región HIII;Telescopium;Telescopio
NGC1018;;;Red Giant;Gigante roja;Auriga;Cochero
NGC1019;;;Quasar;Quasar;Horologium;Reloj
NGC102;;;HII Region;Región HIII;Perseus;Perseo
NGC1020;;;Dark Nebula;Nebulosa oscura;Capricornus;Capricornio
NGC1021;;;Spiral Galaxy;Galaxia espiral;Ophiuchus;Ofiuco
NGC1022;;;Elliptical Galaxy;Galaxia eliptica;Aquila;Águila
NGC1023;;;Dark Nebula;Nebulosa oscura;Ara;Altar
NGC1024;;;Quasar;Quasar;Corona Borealis;Corona Boreal
NGC1025;;;Emission Nebula;Nebula de emisión;Lepus;Liebre
NGC1026;;;Globular Cluster;Cumulo globar;Triangulum Australe;Triángulo Austral
NGC1027;;;Asterism;Asterismo;Auriga;Cochero
NGC1028;;;Red Giant;Gigante roja;Lynx;Lince
NGC1029;;;Reflection Nebula;Nebula de reflexión;Ursa Minor;Osa Menor
NGC103;;;Spiral Galaxy;Galaxia espiral;Crux;Cruz del Sur
NGC1030;;;Variable Star;Estrella variable;Grus;Grulla
NGC1031;;;Red Giant;Gigante roja;Chamaeleon;Camaleón
NGC1032;;;Quasar;Quasar;Apus;Ave del Paraíso
NGC1033;;;Elliptical Galaxy;Galaxia eliptica;Perseus;Perseo
NGC1034;;;Emission Nebula;Nebula de emisión;Indus;Indio
NGC1035;;;Spiral Galaxy;Galaxia espiral;Aquila;Águila
NGC1036;;;Globular Cluster;Cumulo globar;Reticulum;Retículo
NGC1037;;;Reflection Nebula;Nebula de reflexión;Aquila;Águila
NGC1038;;;Spiral Galaxy;Galaxia espiral;Centaurus;Centauro
NGC1039;Messier 34;Messier 34;Open Cluster;Cumulo abierto;Perseus;Perseo
NGC104;;;Globular Cluster;Cumulo globar;Tucana;Tucán
NGC1040;;;Reflection Nebula;Nebula de reflexión;Cetus;Ballena
NGC1041;;;Irregular Galaxy;Galaxia irregular;Corona Australis;Corona Austral
NGC1042;;;Open Cluster;Cumulo abierto;Tucana;Tucán
NGC1043;;;Asterism;Asterismo;Chamaeleon;Camaleón
NGC1044;;;Galaxy Group;Grupo Galaxtico;Libra;Libra
NGC1045;;;Spiral Galaxy;Galaxia espiral;Mensa;Mesa
NGC1046;;;Spiral Galaxy;Galaxia espiral;Cepheus;Cefeo
NGC1047;;;Supernova Remnant;Remanente de supernova;Ursa Minor;Osa Menor
NGC1048;;;Globular Cluster;Cumulo globar;Pegasus;Pegaso
NGC1049;;;Emission Nebula;Nebula de emisión;Vela;Velas
NGC105;;;Reflection Nebula;Nebula de reflexión;Hercules;Hércules
NGC1050;;;Elliptical Galaxy;Galaxia eliptica;Lacerta;Lagarto
NGC1051;;;Supernova Remnant;Remanente de supernova;Crater;Copa
NGC1052;;;Dark Nebula;Nebulosa oscura;Triangulum;Triángulo
NGC1053;;;White Dwarf;Enana blanca;Sagitta;Flecha
NGC1054;;;Dark Nebula;Nebulosa oscura;Ursa Major;Osa Mayor
NGC1055;;;Emission Nebula;Nebula de emisión;Circinus;Compás
NGC1056;;;Emission Nebula;Nebula de emisión;Corona Australis;Corona Austral
NGC1057;;;Planetary Nebula;Nebulosa planetaria;Coma Berenices;Cabellera de Berenice
NGC1058;;;Supernova Remnant;Remanente de supernova;Cancer;Cáncer
NGC1059;;;Reflection Nebula;Nebula de reflexión;Circinus;Compás
NGC106;;;Double Star;Estrella doble;Lepus;Liebre
NGC1060;;;Galaxy Group;Grupo Galaxtico;Camelopardalis;Jirafa
NGC1061;;;Elliptical Galaxy;Galaxia eliptica;Perseus;Perseo
NGC1062;;;Star;Estrella;Cetus;Ballena
NGC1063;;;Double Star;Estrella doble;Lacerta;Lagarto
NGC1064;;;Variable Star;Estrella variable;Triangulum;Triángulo
NGC1065;;;Globular Cluster;Cumulo globar;Delphinus;Delfín
NGC1066;;;Elliptical Galaxy;Galaxia eliptica;Hercules;Hércules
NGC1067;;;Spiral Galaxy;Galaxia espiral;Sagitta;Flecha
NGC1068;;;White Dwarf;Enana blanca;Gemini;Géminis
NGC1069;;;Irregular Galaxy;Galaxia irregular;Auriga;Cochero
NGC107;;;Red Giant;Gigante roja;Ursa Major;Osa Mayor
NGC1070;;;Emission Nebula;Nebula de emisión;Virgo;Virgo
NGC1071;;;Elliptical Galaxy;Galaxia eliptica;Hercules;Hércules
NGC1072;;;Double Star;Estrella doble;Lynx;Lince
NGC1073;;;Open Cluster;Cumulo abierto;Ursa Major;Osa Mayor
NGC1074;;;Emission Nebula;Nebula de emisión;Canis Minor;Can Menor
NGC1075;;;Red Giant;Gigante roja;Volans;Pez Volador
NGC1076;;;Galaxy Group;Grupo Galaxtico;Virgo;Virgo
NGC1077;;;Open Cluster;Cumulo abierto;Equuleus;Caballito
NGC1078;;;Variable Star;Estrella variable;Coma Berenices;Cabellera de Berenice
NGC1079;;;Red Giant;Gigante roja;Norma;Escuadra
NGC108;;;Globular Cluster;Cumulo globar;Virgo;Virgo
NGC1080;;;Open Cluster;Cumulo abierto;Orion;Orión
NGC1081;;;Irregular Galaxy;Galaxia irregular;Sagittarius;Sagitario
NGC1082;;;Dark Nebula;Nebulosa oscura;Corvus;Cuervo
NGC1083;;;HII Region;Región HIII;Ursa Major;Osa Mayor
